abandon	v. 放纵v. 放弃
abash	vt. 使尴尬，使羞愧
abate	v. 减轻(程度或者强度)v. 减少(数量或者降低价值)
abbreviate	v. 缩写，缩短
abdicate	v. 正式放弃(权力、责任)
aberrant	adj. 异常的，非常规的
abet	v. 帮助,怂恿 v. 鼓励
abeyance	n. 中止，搁置
abhor	vt. 深恶痛绝，极度厌恶
abide	v.容忍，忍受
abiding	vt. 永久的
abject	adj. 无精打采的
abjure	v. 发誓放弃
ablution	n.（宗教的）净礼，沐浴
abnegate	v. 否认
abolish	v.废止，废除（法律、制度、习俗等）
abominate	v. 憎恶
aboveboard	adj. 无欺诈的，光明正大的
abrade	v. 磨损
abreast	adv.并列地，并排地
abridge	v. 缩短，缩小v. 在不改变本意的条件下删减词语，缩写
abrogate	v. 官方的正式废除
abscission	v. 切除
abscond	v. 偷偷离开
absenteeism	n.旷课，旷工
absolute	adj. 确定不变的adj. 专制的 adj. 无限的
absolve	v. 使无罪，解除责任
absorb	v.吸收；同化；吸引…的注意
abstain	v. 自我克制，主动戒绝
abstemious	adj. (吃喝等)有节制的
abstract	vt. 做总结，概括vt. 使分心
abstruse	adj. 难以理解的
absurd	adj.不合理的
abundant	adj. 大量的
abuse	v. 辱骂抨击
abusive	adj.谩骂的，毁谤的；虐待的
abut	v. 邻接, 毗邻
abysmal	adj. 极低的或极可怜的
academic	adj.学院的，学术的；理论的
accede	v. 赞成
accelerate	v.加速
accentuate	v.重读；强调
access	n.通路；途径
accessible	adj. 可以到达的 adj. 可理解的
accessory	adj.辅助的，附属的
acclaim	v.欢呼，称赞
acclimate	vt. 使适应
accolate	n.推崇；赞扬
accommodate	v.与…一致；提供食宿
accommodating	adj.乐于助人的
accompany	v.伴随，陪伴
accomplice	n.同谋着，帮凶
accomplish	v.完成，做成功
accord	v./n.同意；一致
accost	v.搭话
accountability	n.负有责任
accrete	v.逐渐增长；连生
accrue	v.（利息等）增大；增多
accumulate	v.积聚，积累
accurate	adj.精确的，精准的
accuse	v.谴责，指责
acerbic	adj.苦涩的；刻薄的
acknowledge	v.承认；致谢
acme	n.顶点，极点
acolyte	n.（教士的）助手，侍僧
acorn	n.橡子，橡果
acoustic	adj.听觉的，有关声音的
acquaint	v.使…熟知；通知
acquiesce	v.勉强同意，默许
acquired	adj.后天习得的
acquisitive	adj.渴望得到的，贪婪的
acquit	v.宣告无罪；脱卸义务和责任；还清（债务）
acquittal	n.宣告无罪，开释
acrid	adj.辛辣的，刻薄的
acrimony	n.尖刻，刻薄
acrobat	n.特技演员，杂技演员
acrophobia	n.恐高症
acuity	n.（尤指思想或感官）敏锐
acumen	n.敏锐，精明
acute	adj.敏锐的，灵敏的；急性的
adage	n.格言，谚语
adamant	adj.强硬的；坚决的，固执的
adaptable	adj.有适应能力的；可改编的
addendum	n.补充；附录
addict	v./n.沉溺；上瘾（者）
additive	n.添加剂
address	v.处理，对付，着手解决；致辞
adept	adj.老练的，精通的
adequate	adj.足够的
adhere	v.黏着，坚持
adherent	n.拥护者，信徒
adhesive	adj.带粘性的，胶粘的；n.胶合剂
adjacent	adj.接近的，毗连的
adjourn	v.使延期，推迟；休会
adjunct	n.附加物，附件
adjust	v.调整，整理；使适合，适应
admire	v.钦佩，赞赏
admission	n.许可；入场费；承认，坦白
admonish	v.训诫；警告
adobe	n.泥砖，土坯
adolescent	adj.青春期的；n.青少年
adore	v.崇拜，敬仰；热爱
adorn	v.装饰
adroit	adj.熟练的，灵巧的
adulate	v.谄媚，奉承
adumbrate	v.（对将来事件）预示；预告
advent	n.到来，来临
adventitious	adj.偶然的
adverse	adj.不利的；相反的；敌对的
advertise	v.做广告；通知
advisable	adj.适当的，可行的
advocate	v.拥护，支持，鼓吹；n.支持者，拥护者
aegis	n.盾；保护，庇护
aerate	v.充气，让空气进入
aerial	adj.空中的，空气中的
aesthete	n.审美家
aesthetic	adj.美学的，有审美感的
affable	adj.易于交谈的；和蔼的
affectation	n.做作，假装
